country.iso,country.name,num_u,num_contrib,gini,pr_total,particip_lower,particip_upper,var,pr_questions,pr_answers,pr_comments,pr_editions,IDV,GNI,Internet,English,WVS
GTM,Guatemala,215,8112,0.9481227925,0.6651162791,0.5996220965,0.7248136863,0.1251915897,0.4465116279,0.5162790698,0.1720930233,0.05581395349,6,3140,12.3,45.77,-0.17
ECU,Ecuador,278,3316,0.8717163784,0.6474820144,0.5896592875,0.7012844237,0.1116251362,0.4460431655,0.4496402878,0.1618705036,0.03956834532,8,5200,31.4,51.05,NA
PAN,Panama,116,658,0.7940467456,0.6637931034,0.5738006684,0.7432849243,0.169484256,0.5086206897,0.474137931,0.1465517241,0.01724137931,11,9850,42.7,43.7,NA
VEN,"Venezuela, Bolivarian Republic of",686,10788,0.8606574522,0.6545189504,0.6181629114,0.6891540775,0.07099116608,0.5160349854,0.4533527697,0.1967930029,0.07871720117,12,12500,NA,46.12,0.43
COL,Colombia,1224,17713,0.8753215762,0.658496732,0.6314714768,0.6845302328,0.053058756,0.4967320261,0.4779411765,0.1715686275,0.05964052288,13,6990,40.4,48.54,0.6
PAK,Pakistan,4809,138247,0.8837840086,0.7107506758,0.6977715633,0.7233933592,0.02562179594,0.6080266168,0.4743189852,0.2135579122,0.101268455,14,1260,9,NA,1.25
IDN,Indonesia,3585,35597,0.9045038624,0.5433751743,0.5270319446,0.5596255474,0.03259360278,0.4214783821,0.3210599721,0.1107391911,0.0359832636,14,3420,12.3,52.74,-0.8
CRI,Costa Rica,431,9848,0.9065630531,0.6658932715,0.6200704842,0.7087850035,0.08871451929,0.4895591647,0.4872389791,0.2018561485,0.05800464037,15,8740,42.1,48.53,NA
GHA,Ghana,208,1567,0.9012352118,0.5384615385,0.4706293457,0.6048988351,0.1342694895,0.3894230769,0.3461538462,0.08653846154,0.03365384615,15,1550,14.1,NA,-0.29
PER,Peru,534,42535,0.955489883,0.6404494382,0.5988789901,0.6800136047,0.08113461458,0.468164794,0.4775280899,0.2284644195,0.0936329588,16,5880,36,51.46,0.03
TTO,Trinidad and Tobago,67,9950,0.9509367734,0.6567164179,0.5373266459,0.7591099373,0.2217832914,0.5373134328,0.4776119403,0.2089552239,0.1044776119,16,14400,55.2,NA,-0.26
TWN,"Taiwan, Province of China",1386,15864,0.8874668994,0.5606060606,0.5343451685,0.5865319279,0.05218675948,0.3968253968,0.3975468975,0.1572871573,0.04473304473,17,NA,NA,52.56,-1.18
KOR,"Korea, Republic of",1784,24887,0.9294452405,0.533632287,0.5104355948,0.5566844506,0.04624885578,0.4069506726,0.3195067265,0.1065022422,0.04147982063,18,22670,83.8,53.62,-1.37
SLV,El Salvador,133,2511,0.878600324,0.6315789474,0.546979659,0.70879078,0.1618111211,0.4962406015,0.4736842105,0.1353383459,0.05263157895,19,3580,18.9,43.46,0.53
CHN,China,13401,145338,0.9252125121,0.5117528543,0.5032875981,0.5202113743,0.0169237762,0.3631072308,0.3557197224,0.107827774,0.02977389747,20,5680,38.3,50.15,-1.16
BGD,Bangladesh,2558,60043,0.9175719806,0.6004691165,0.5813511348,0.6192857931,0.03793465835,0.4757623143,0.3928850665,0.1598905395,0.08053166536,20,840,5,NA,-0.93
VNM,Viet Nam,2319,33684,0.9173031916,0.5588615783,0.5385720677,0.5789564011,0.04038433334,0.4213022855,0.3704182837,0.1285036654,0.03751617076,20,1400,35.1,51.57,-0.26
SGP,Singapore,2279,113193,0.911850886,0.7340939008,0.7155718601,0.7518280971,0.03625623701,0.6007020623,0.5212812637,0.2759982448,0.1013602457,20,47210,71,59.58,NA
