country.iso,country.name,num_u,num_contrib,gini,pr_total,pr_questions,pr_answers,pr_comments,pr_editions,particip_lower,particip_upper,var,IDV,GNI,Internet,English,WVS
MOZ,Mozambique,2,12,0.4166666667,0.999,1,0.5,0.5,0,0.3416959871,0.9999994799,0.6583034928,NA,510,4.3,NA,NA
COG,Congo,1,18,0,0.999,1,1,1,0,0.2061364759,0.9999997398,0.7938632639,NA,2550,31,NA,NA
COG,Congo,1,18,0,0.999,1,1,1,0,0.2061364759,0.9999997398,0.7938632639,NA,2550,18,NA,NA
GAB,Gabon,1,2,0,0.999,1,0,1,0,0.2061364759,0.9999997398,0.7938632639,NA,10070,8,NA,NA
GMB,Gambia,1,2,0,0.999,1,0,1,0,0.2061364759,0.9999997398,0.7938632639,NA,510,68,NA,NA
GUY,Guyana,1,2,0,0.999,1,0,1,0,0.2061364759,0.9999997398,0.7938632639,NA,3410,32,NA,NA
MRT,Mauritania,1,8,0,0.999,1,1,1,0,0.2061364759,0.9999997398,0.7938632639,NA,1110,4.5,NA,NA
MWI,Malawi,1,3,0,0.999,1,0,1,0,0.2061364759,0.9999997398,0.7938632639,NA,320,3.3,NA,NA
TJK,Tajikistan,1,3,0,0.999,1,1,0,0,0.2061364759,0.9999997398,0.7938632639,NA,860,13,NA,NA
REU,Reunion,5,25,0.384,0.8,0.8,0.4,0.8,0.4,0.3755346298,0.9637758914,0.5882412616,NA,NA,NA,NA,NA
CYM,Cayman Islands,3,6,0.5555555556,0.6666666667,0.6666666667,0,0.3333333333,0,0.2076596008,0.9385080553,0.7308484545,NA,NA,69.5,NA,NA
GRL,Greenland,5,10,0.56,0.6,0.6,0.4,0.4,0,0.2307242813,0.8823792258,0.6516549445,NA,NA,64,NA,NA
BWA,Botswana,5,26,0.6307692308,0.8,0.6,0.4,0.6,0.2,0.3755346298,0.9637758914,0.5882412616,NA,7430,8,NA,NA
JAM,Jamaica,13,87,0.6949602122,0.6923076923,0.5384615385,0.2307692308,0.4615384615,0,0.4236934318,0.8731929634,0.4494995316,39,5140,37.5,69.24,NA
SYR,Syrian Arab Republic,46,155,0.6680224404,0.6304347826,0.5217391304,0.3043478261,0.4347826087,0.02173913043,0.4860009642,0.7547624541,0.2687614899,NA,2610,22.5,NA,NA
MUS,Mauritius,16,597,0.8654731993,0.6875,0.5,0.375,0.4375,0.125,0.4440435583,0.8583535615,0.4143100031,NA,8570,35,NA,NA
BHS,Bahamas,4,7,0.1071428571,0.999,0.5,0,0.75,0.25,0.5090899843,0.9999989609,0.4909089766,NA,21280,100,NA,NA
VIR,"Virgin Islands, U.S.",4,7,0.4642857143,0.75,0.5,0.5,0.5,0,0.3006418426,0.9544127392,0.6537708966,NA,NA,35.6,NA,NA
GUM,Guam,2,2,0,0.999,0.5,0.5,0,0,0.3416959871,0.9999994799,0.6583034928,NA,NA,57.7,NA,NA
SWZ,Swaziland,2,3,0.1666666667,0.999,0.5,0.5,0,0,0.3416959871,0.9999994799,0.6583034928,NA,2860,18.1,NA,NA
BRN,Brunei Darussalam,2,4,0.25,0.999,0.5,0.5,0,0,0.3416959871,0.9999994799,0.6583034928,NA,NA,56,NA,NA
ABW,Aruba,2,1,0.5,0.5,0.5,0,0,0,0.09453120573,0.9054687943,0.8109375885,NA,NA,69,NA,NA
BTN,Bhutan,2,1,0.5,0.5,0.5,0,0,0,0.09453120573,0.9054687943,0.8109375885,NA,2420,21,NA,NA
TGO,Togo,2,1,0.5,0.5,0.5,0,0,0,0.09453120573,0.9054687943,0.8109375885,NA,500,3.5,NA,NA
AZE,Azerbaijan,33,203,0.8663979698,0.5151515152,0.4848484848,0.09090909091,0.303030303,0.0303030303,0.3521837545,0.6749595789,0.3227758244,NA,6030,50,NA,NA
ETH,Ethiopia,21,30,0.7015873016,0.5714285714,0.4761904762,0.1904761905,0.1428571429,0,0.3654655437,0.7553003107,0.3898347671,20,410,1.1,NA,-0.36
LAO,Lao People's Democratic Republic,9,45,0.6469135802,0.7777777778,0.4444444444,0.3333333333,0.5555555556,0,0.4525889691,0.9367748929,0.4841859238,NA,1260,9,NA,NA
OMN,Oman,9,31,0.7311827957,0.6666666667,0.4444444444,0.2222222222,0.2222222222,0,0.3542021356,0.8794161816,0.525214046,NA,19110,48,NA,NA
ATA,Antarctica,9,109,0.7951070336,0.5555555556,0.4444444444,0.3333333333,0.5555555556,0,0.2666512935,0.8112214789,0.5445701854,NA,NA,NA,NA,NA
IRQ,Iraq,16,22,0.5625,0.625,0.4375,0.1875,0.1875,0,0.3864104055,0.8151876744,0.428777269,30,5870,5,38.02,-1.68
